datasetKey,datasetTitle
045d64f1-29e5-4b8e-a0e7-8d7bd6b4d1db,Aquatic Heteroptera Dataset
8c3e7db0-5c1a-49df-af56-9cb84d8511ff,Patrick Roper’s Notebooks
2c27c186-4ce8-483c-8b4d-c3d98beaabd9,Stonefly (Plecoptera) Data for Great Britain for 1955-2005
0ee9e63e-8eda-4bb1-aab1-9a29232cf437,SEWBReC Dragonflies and Damselflies (South East Wales)
6965a5f6-306a-494f-b7a4-c725f046931e,Riparia - riparian habitat surveys
1b11a5e3-6991-44fd-848b-6fd9c1368c58,Casual records for Scottish Wildlife Trust reserves - Verified data
2b91dc29-e06a-4e2e-a85b-e7781b4f5d0d,Odonata records from Kent's County Dragonfly Recorders (1976-2005)
d0d1b5f8-695a-4b08-a345-439d77b9902e,Lothian Wildlife Information Centre surveys (Invertebrates - general)
6d255bce-0129-42c7-bfee-467843015242,UK Sarcophagidae Recording Scheme
6633ffa2-dc07-4d6f-a7e4-6f53d9d94dd7,Stoneflies (Plecoptera) of Ireland
ac567b66-ed97-45c2-bc07-6f8604ee96d7,UK Biodiversity Action Plan Invertebrate Data for Wales
4fac6de9-a3ae-4334-809c-89d7a56e0d06,RHS Box tree moth (Cydalima perspectalis) monitoring
f9e117d8-d8f7-4d62-b0e2-c12c78f08c56,Ladybirds of Ireland
51de9c85-0337-4c68-9783-f13bc0aac15f,Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Unassessed data
ee9d5664-deae-4209-8e59-d3cabf81d4e2,East Lothian Council Ranger Service Records
bd552593-f9c8-4b54-8887-fb00b647c6f9,NBMP Sunset-Sunrise Survey
626fca6f-8590-478b-a662-b9c82afad2b5,"Grasshoppers, Crickets and Allied Insects (Orthoptera) of Ireland"
814940c3-f826-481e-8e4e-7408de7a2c3d,East Ayrshire Species Database
2b656601-8b91-4ae1-a6ab-06a6cd94f9fb,Sawflies of Ireland
d24b29ba-8f3b-4c41-be21-b615882e54c6,Churchyards for London
68ff0485-b37a-47ca-9016-7054d07e80b9,DBRC Hymenoptera species records 1975 to 2015
887e6209-ea70-46a7-9652-fc94ca97ae0a,Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data
c3969d4c-b9c1-439a-96be-ebf369f17a0c,VectorBase (Bioinformatics Resource for Invertebrate Vectors of Human Pathogens)
547f2b71-ba25-4254-aaf1-4823600e7784,Merseyside BioBank Active Naturalists (unverified)
b480871a-6c2f-4c35-ab94-6de203c4ff28,Merseyside BioBank Active Naturalists (verified)
